#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"linkage group LG15","NC_043011.1",162130,333174,"-",115219921,"LOC115219921","-","XP_029646088.1",347,"uncharacterized protein LOC115219921"
"linkage group LG15","NC_043011.1",602483,602866,"+",115219924,"LOC115219924","-","XP_029646091.1",127,"uncharacterized protein LOC115219924"
"linkage group LG15","NC_043011.1",763855,767776,"-",115219925,"LOC115219925","-","XP_029646092.1",934,"uncharacterized protein LOC115219925"
"linkage group LG15","NC_043011.1",3498238,3498768,"+",115219929,"LOC115219929","-","XP_029646094.1",176,"uncharacterized protein LOC115219929"
"linkage group LG15","NC_043011.1",3587784,3588203,"-",115219930,"LOC115219930","-","XP_029646095.1",139,"uncharacterized protein LOC115219930"
"linkage group LG15","NC_043011.1",3756990,4526238,"+",115219722,"LOC115219722","-","XP_029645788.1",789,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X2"
"linkage group LG15","NC_043011.1",4091751,4526238,"+",115219722,"LOC115219722","-","XP_029645786.1",792,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X1"
"linkage group LG15","NC_043011.1",4091751,4526238,"+",115219722,"LOC115219722","-","XP_029645789.1",778,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X3"
"linkage group LG15","NC_043011.1",4091751,4526238,"+",115219722,"LOC115219722","-","XP_029645794.1",762,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X5"
"linkage group LG15","NC_043011.1",4113979,4526238,"+",115219722,"LOC115219722","-","XP_029645790.1",764,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X4"
"linkage group LG15","NC_043011.1",4113979,4526238,"+",115219722,"LOC115219722","-","XP_029645791.1",764,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X4"
"linkage group LG15","NC_043011.1",4113979,4526238,"+",115219722,"LOC115219722","-","XP_029645792.1",764,"N-acetylated-alpha-linked acidic dipeptidase 2-like isoform X4"
"linkage group LG15","NC_043011.1",4629482,4629856,"-",115219931,"LOC115219931","-","XP_029646096.1",124,"uncharacterized protein LOC115219931"
"linkage group LG15","NC_043011.1",4959023,4960174,"+",115219772,"LOC115219772","-","XP_029645883.1",383,"neurotensin receptor type 1-like"
"linkage group LG15","NC_043011.1",4959023,4960174,"+",115219772,"LOC115219772","-","XP_029645884.1",383,"neurotensin receptor type 1-like"
"linkage group LG15","NC_043011.1",4971100,4979413,"+",115219933,"LOC115219933","-","XP_029646097.1",302,"neuromedin-U receptor 2-like"
"linkage group LG15","NC_043011.1",5020712,5021800,"+",115219934,"LOC115219934","-","XP_029646098.1",362,"arg8-vasotocin receptor-like"
"linkage group LG15","NC_043011.1",5040993,5042081,"-",115219935,"LOC115219935","-","XP_029646099.1",362,"orexin receptor type 2-like"
"linkage group LG15","NC_043011.1",5096694,5097239,"-",115219937,"LOC115219937","-","XP_029646100.1",181,"uncharacterized protein LOC115219937"
